q,p,lo,hi,coverage,n_local,method,cond_number
927,0,0.0434150668491478,0.261919333730562,0.21862261805511893,1000,interval_capped,1491464.3217831508
927,1,0.0551273274842782,0.122398383676173,0.06728122059773455,334,interval,1372100.9655581433
928,0,0.0797297653450059,0.0993793942001292,0.0196602719270919,93,interval,996363.4202044518
928,1,0.0658696786963765,0.928137823739459,0.8623984305457197,1000,interval_capped,1704733.6984635263
929,0,0.580995791012583,0.592722352411754,0.011732913001933309,78,interval,1789985.3736949896
929,1,0.552946172369464,0.777205756587634,0.22429346900542452,1000,interval_capped,1237743.1680953964
930,0,0.211782123612169,0.530845225566197,0.3192359200556655,1000,interval_capped,2318108.5200252775
930,1,0.602668818469641,0.782094466931776,0.17945275900881383,917,interval,1626023.123996035
931,0,0.544073920899894,0.8098195160324,0.2658895342122305,1000,interval_capped,1318826.8975708159
931,1,0.435650831458515,0.660911531404067,0.22529473599766123,1000,interval_capped,1315646.4268696175
932,0,0.332235639786934,0.560989888520403,0.22887815173185871,1000,interval_capped,1785058.5501141937
932,1,0.669669557691989,0.797922859259135,0.12827268016295243,656,interval,1036151.0738498934
933,0,0.849036460420913,0.93489754860662,0.08590759419086373,433,interval,1242283.8288594875
933,1,0.771239542655721,0.789119261265004,0.017882420168118692,98,interval,1772548.1696075464
934,0,0.135346624482941,0.936217539928517,0.8013047010836406,1000,interval_capped,2045144.038313764
934,1,0.353501867594016,0.678606820371014,0.3251540749235437,1000,interval_capped,2172149.0339922966
